Name,ID,Dir0 node,Dir1 node
North Hollywood,80201,16,17
Universal / Studio City,80202,15,18
Hollywood / Highland,80203,14,19
Hollywood / Vine,80204,13,20
Hollywood / Western,80205,12,21
Vermont / Sunset,80206,11,22
Vermont / Santa Monica,80207,10,23
Vermont / Beverly Station,80208,9,24
Wilshire / Vermont Station,80209,8,43
Westlake / MacArthur Park Station,80210,7,44
7th Street / Metro Center Station,80211,6,45
Pershing Square Station,80212,5,0
Civic Center / Grand Park,80213,4,1
Union Station,80214,3,2
Wilshire / Normandie,80215,42,25
Wilshire / Western,80216,41,26
